"filename", "language", "XML", "C++", "YAML", "JSON", "Dart", "Markdown", "Groovy", "Properties", "Swift", "HTML", "comment", "blank", "total"
"/Volumes/Productivity/Programming/Flutter/walley/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Volumes/Productivity/Programming/Flutter/walley/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Volumes/Productivity/Programming/Flutter/walley/macos/Runner/Base.lproj/MainMenu.xib", "XML", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Volumes/Productivity/Programming/Flutter/walley/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Volumes/Productivity/Programming/Flutter/walley/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Volumes/Productivity/Programming/Flutter/walley/pubspec.yaml", "YAML", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 59, 18, 152
"/Volumes/Productivity/Programming/Flutter/walley/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 5, 39
"/Volumes/Productivity/Programming/Flutter/walley/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Volumes/Productivity/Programming/Flutter/walley/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"/Volumes/Productivity/Programming/Flutter/walley/windows/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Volumes/Productivity/Programming/Flutter/walley/windows/runner/win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 474, 562, 79, 278, 3174, 13, 83, 8, 62, 19, 404, 473, 5629
